Pathways	Hugo_Symbol
Hippo	STK3
Hippo	SAV1
Hippo	LATS1
Hippo	LATS2
Hippo	MOB1A
Hippo	MOB1B
Hippo	YAP1
Hippo	WWTR1
Hippo	TEAD1
Hippo	TEAD2
Hippo	TEAD3
Hippo	TEAD4
Hippo	PTPN14
Hippo	NF2
Hippo	WWC1
Hippo	TAOK1
Hippo	TAOK2
Hippo	TAOK3
Hippo	CRB1
Hippo	CRB2
Hippo	CRB3
Hippo	LLGL1
Hippo	LLGL2
Hippo	HMCN1
Hippo	SCRIB
Hippo	HIPK2
Hippo	FAT1
Hippo	FAT2
Hippo	FAT3
Hippo	FAT4
Hippo	DCHS1
Hippo	DCHS2
Hippo	CSNK1E
Hippo	CSNK1D
Hippo	AJUBA
Hippo	LIMD1
Hippo	WTIP
MYC	MGA
MYC	MLX
MYC	MLXIP
MYC	MLXIPL
MYC	MNT
MYC	MXD1
MYC	MXD3
MYC	MXD4
MYC	MXI1
MYC	MYC
MYC	MYCL
MYC	MYCN
Notch	CNTN6
Notch	CREBBP
Notch	EP300
Notch	HES1
Notch	HES2
Notch	HES3
Notch	HES4
Notch	HES5
Notch	HEY1
Notch	HEY2
Notch	HEYL
Notch	KAT2B
Notch	KDM5A
Notch	NOTCH1
Notch	NOTCH2
Notch	NOTCH3
Notch	NOTCH4
Notch	NOV
Notch	NRARP
Notch	PSEN2
Notch	LFNG
Notch	ITCH
Notch	NCSTN
Notch	SPEN
Notch	JAG1
Notch	APH1A
Notch	FBXW7
Notch	FHL1
Notch	THBS2
Notch	HDAC2
Notch	MFAP2
Notch	CUL1
Notch	RFNG
Notch	NCOR1
Notch	NCOR2
Notch	MFAP5
Notch	HDAC1
Notch	NUMB
Notch	JAG2
Notch	MAML3
Notch	MFNG
Notch	CIR1
Notch	CNTN1
Notch	MAML1
Notch	MAML2
Notch	NUMBL
Notch	PSEN1
Notch	PSENEN
Notch	RBPJ
Notch	RBPJL
Notch	RBX1
Notch	SAP30
Notch	SKP1
Notch	SNW1
Notch	CTBP1
Notch	CTBP2
Notch	ADAM10
Notch	APH1B
Notch	ADAM17
Notch	DLK1
Notch	DLL1
Notch	DLL3
Notch	DLL4
Notch	DNER
Notch	DTX1
Notch	DTX2
Notch	DTX3
Notch	DTX3L
Notch	DTX4
Notch	EGFL7
PI3K	AKT1
PI3K	AKT2
PI3K	AKT3
PI3K	AKT1S1
PI3K	DEPDC5
PI3K	DEPTOR
PI3K	INPP4B
PI3K	MAPKAP1
PI3K	MLST8
PI3K	MTOR
PI3K	NPRL2
PI3K	NPRL3
PI3K	PDK1
PI3K	PIK3CA
PI3K	PIK3CB
PI3K	PIK3R1
PI3K	PIK3R2
PI3K	PIK3R3
PI3K	PPP2R1A
PI3K	PTEN
PI3K	RHEB
PI3K	RICTOR
PI3K	RPTOR
PI3K	RPS6
PI3K	RPS6KB1
PI3K	STK11
PI3K	TSC1
PI3K	TSC2
RTK_Ras	EGFR
RTK_Ras	ERBB2
RTK_Ras	ERBB3
RTK_Ras	ERBB4
RTK_Ras	PDGFRA
