Gene	Cancer	KEY	Tumor suppressor or oncogene prediction (by 20/20+)	Decision	Tissue Frequency	Pancan Frequency	Consensus Score	Correlation adusted score	Novel	Rescue Notes	Note about previous publication
ABL1	PANCAN	ABL1_PANCAN	NA	rescued	"NA"	0.0116752946359731	0	NA	0	Evidence from OncoImpact/DriverNET overlap (SNV result)	NA
ACVR1	UCEC	ACVR1_UCEC	oncogene	official	5.3030303030302997E-2	0.00748981165326578	1.5	1.5	0	NA	0
ACVR1B	PANCAN	ACVR1B_PANCAN	possible tsg	official	"NA"	0.0109042846128428	1	0	0	NA	Found in 24132290
ACVR2A	COADREAD	ACVR2A_COADREAD	tsg	official	2.8481012658227799E-2	0.013988324705364	1.5	1.5	0	NA	Found in 22810696
ACVR2A	LIHC	ACVR2A_LIHC	possible tsg	official	3.10734463276836E-2	0.013988324705364	1.5	1.5	0	NA	Found in private communication about integrative LIHC analysis
ACVR2A	PANCAN	ACVR2A_PANCAN	possible tsg	official	"NA"	0.013988324705364	2	2	0	NA	Found in 24132290
AJUBA	PANCAN	AJUBA_PANCAN	tsg	official	"NA"	0.00903183169952638	2	1.484498591833	0	NA	Found in 24132290
AJUBA	HNSC	AJUBA_HNSC	tsg	official	6.3745019920318696E-2	0.00903183169952638	4.5	3.414535963739545	0	NA	Found in 25631445
AKT1	CESC	AKT1_CESC	oncogene	official	2.5547445255474501E-2	0.0101332745897125	1.5	1.5	0	NA	0
AKT1	PRAD	AKT1_PRAD	oncogene	official	6.2893081761006301E-3	0.0101332745897125	1.5	1.5	0	NA	Found in 26544944
AKT1	PANCAN	AKT1_PANCAN	oncogene	official	"NA"	0.0101332745897125	2.5	2.5	0	NA	Found in 24132290
AKT1	THCA	AKT1_THCA	oncogene	official	1.01626016260163E-2	0.0101332745897125	2.5	2.5	0	NA	0
AKT1	UCEC	AKT1_UCEC	oncogene	official	3.5353535353535401E-2	0.0101332745897125	3	3	0	NA	0
AKT1	BRCA	AKT1_BRCA	oncogene	official	3.2092426187419802E-2	0.0101332745897125	4	3.51789786493	0	NA	Found in 23000897
ALB	LIHC	ALB_LIHC	possible tsg	official	0.13559322033898299	0.0166317876418108	2.5	2.07745676217175	1	NA	Found in private communication about integrative LIHC analysis
ALK	PANCAN	ALK_PANCAN	NA	rescued	"NA"	0.0243418878731138	0	NA	0	Evidence from OncoImpact (SNV result)	NA
AMER1	PANCAN	AMER1_PANCAN	possible tsg	official	"NA"	0.027425927965635	2	2	0	NA	0
